omega	X
0.628319	2.61803
0.659734	2.28339
0.69115	1.95228
0.722566	1.62672
0.753982	1.30867
0.785398	1
0.816814	0.702487
0.84823	0.417796
0.879646	0.147472
0.911062	-0.107075
0.942478	-0.344577
0.973894	-0.563916
1.00531	-0.764134
1.03673	-0.944438
1.06814	-1.1042
1.09956	-1.24297
1.13097	-1.36046
1.16239	-1.45656
1.19381	-1.53134
1.22522	-1.58503
1.25664	-1.61803
1.28805	-1.6309
1.31947	-1.62433
1.35088	-1.59918
1.3823	-1.55644
1.41372	-1.49723
1.44513	-1.42275
1.47655	-1.33434
1.50796	-1.23341
1.53938	-1.12145
1.5708	-1
1.60221	-0.870658
1.63363	-0.735048
1.66504	-0.594809
1.69646	-0.451584
1.72788	-0.307001
1.75929	-0.162662
1.79071	-0.0201265
1.82212	0.119101
1.85354	0.253584
1.88496	0.381966
1.91637	0.502982
1.94779	0.615468
1.9792	0.718372
2.01062	0.81076
2.04204	0.891825
2.07345	0.960893
2.10487	1.01742
2.13628	1.06102
2.1677	1.09142
2.19911	1.10851
2.23053	1.11232
2.26195	1.103
2.29336	1.08087
2.32478	1.04635
2.35619	1
2.38761	0.942492
2.41903	0.874611
2.45044	0.797243
2.48186	0.711366
2.51327	0.618034
2.54469	0.518374
2.57611	0.413569
2.60752	0.304845
2.63894	0.193459
2.67035	0.0806885
2.70177	-0.0321859
2.73319	-0.143891
2.7646	-0.253174
2.79602	-0.358818
2.82743	-0.45965
2.85885	-0.554555
2.89027	-0.64249
2.92168	-0.722489
2.9531	-0.793677
2.98451	-0.855277
3.01593	-0.906616
3.04734	-0.947137
3.07876	-0.976399
3.11018	-0.994084
3.14159	-1
3.17301	-0.994084
3.20442	-0.976399
3.23584	-0.947137
3.26726	-0.906616
3.29867	-0.855277
3.33009	-0.793677
3.3615	-0.722489
3.39292	-0.64249
3.42434	-0.554555
3.45575	-0.45965
3.48717	-0.358818
3.51858	-0.253174
3.55	-0.143891
3.58142	-0.0321859
3.61283	0.0806885
3.64425	0.193459
3.67566	0.304845
3.70708	0.413569
3.7385	0.518374
3.76991	0.618034
3.80133	0.711366
3.83274	0.797243
3.86416	0.874611
3.89557	0.942492
3.92699	1
3.95841	1.04635
3.98982	1.08087
4.02124	1.103
4.05265	1.11232
4.08407	1.10851
4.11549	1.09142
4.1469	1.06102
4.17832	1.01742
4.20973	0.960893
4.24115	0.891825
4.27257	0.81076
4.30398	0.718372
4.3354	0.615468
4.36681	0.502982
4.39823	0.381966
4.42965	0.253584
4.46106	0.119101
4.49248	-0.0201265
4.52389	-0.162662
4.55531	-0.307001
4.58673	-0.451584
4.61814	-0.594809
4.64956	-0.735048
4.68097	-0.870658
4.71239	-1
4.7438	-1.12145
4.77522	-1.23341
4.80664	-1.33434
4.83805	-1.42275
4.86947	-1.49723
4.90088	-1.55644
4.9323	-1.59918
4.96372	-1.62433
4.99513	-1.6309
5.02655	-1.61803
5.05796	-1.58503
5.08938	-1.53134
5.1208	-1.45656
5.15221	-1.36046
5.18363	-1.24297
5.21504	-1.1042
5.24646	-0.944438
5.27788	-0.764134
5.30929	-0.563916
5.34071	-0.344577
5.37212	-0.107075
5.40354	0.147472
5.43496	0.417796
5.46637	0.702487
5.49779	1
5.5292	1.30867
5.56062	1.62672
5.59203	1.95228
5.62345	2.28339
5.65487	2.61803
5.68628	2.95412
5.7177	3.28955
5.74911	3.62217
5.78053	3.94985
5.81195	4.27045
5.84336	4.58188
5.87478	4.88208
5.90619	5.16905
5.93761	5.44087
5.96903	5.69572
6.00044	5.93187
6.03186	6.14772
6.06327	6.3418
6.09469	6.51278
6.12611	6.6595
6.15752	6.78095
6.18894	6.87629
6.22035	6.94486
6.25177	6.98619
6.28319	7
6.3146	6.98619
6.34602	6.94486
6.37743	6.87629
6.40885	6.78095
6.44026	6.6595
6.47168	6.51278
6.5031	6.3418
6.53451	6.14772
6.56593	5.93187
6.59734	5.69572
6.62876	5.44087
6.66018	5.16905
6.69159	4.88208
6.72301	4.58188
6.75442	4.27045
6.78584	3.94985
6.81726	3.62217
6.84867	3.28955
6.88009	2.95412
6.9115	2.61803
6.94292	2.28339
6.97434	1.95228
7.00575	1.62672
7.03717	1.30867
7.06858	1
7.1	0.702487
7.13142	0.417796
7.16283	0.147472
7.19425	-0.107075
7.22566	-0.344577
7.25708	-0.563916
7.28849	-0.764134
7.31991	-0.944438
7.35133	-1.1042
7.38274	-1.24297
7.41416	-1.36046
7.44557	-1.45656
7.47699	-1.53134
7.50841	-1.58503
7.53982	-1.61803
7.57124	-1.6309
7.60265	-1.62433
7.63407	-1.59918
7.66549	-1.55644
7.6969	-1.49723
7.72832	-1.42275
7.75973	-1.33434
7.79115	-1.23341
7.82257	-1.12145
7.85398	-1
7.8854	-0.870658
7.91681	-0.735048
7.94823	-0.594809
7.97965	-0.451584
8.01106	-0.307001
8.04248	-0.162662
8.07389	-0.0201265
8.10531	0.119101
8.13672	0.253584
8.16814	0.381966
8.19956	0.502982
8.23097	0.615468
8.26239	0.718372
8.2938	0.81076
8.32522	0.891825
8.35664	0.960893
8.38805	1.01742
8.41947	1.06102
8.45088	1.09142
8.4823	1.10851
8.51372	1.11232
8.54513	1.103
8.57655	1.08087
8.60796	1.04635
8.63938	1
8.6708	0.942492
8.70221	0.874611
8.73363	0.797243
8.76504	0.711366
8.79646	0.618034
8.82788	0.518374
8.85929	0.413569
8.89071	0.304845
8.92212	0.193459
8.95354	0.0806885
8.98495	-0.0321859
9.01637	-0.143891
9.04779	-0.253174
9.0792	-0.358818
9.11062	-0.45965
9.14203	-0.554555
9.17345	-0.64249
9.20487	-0.722489
9.23628	-0.793677
9.2677	-0.855277
9.29911	-0.906616
9.33053	-0.947137
9.36195	-0.976399
9.39336	-0.994084
9.42478	-1
